keyLength,parentID,nodeName,recordType,flags,reserved1,fileID,createDate,contentModDate,attributeModDate,accessDate,backupDate,permissions,userInfo,finderInfo,textEncoding,reserved2,dataFork,resourceFork,valence,folderID,reserved,
34,8128675,Attributes.csv,2,130,0,8128678,3507213905,3507214150,3507214150,3507213905,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9681)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=156),0,0,ForkData(logicalSize=631989  clumpSize=0  totalBlocks=155  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=37372612  blockCount=16)  extent1=ExtentDescriptor(startBlock=37422028  blockCount=14)  extent2=ExtentDescriptor(startBlock=37486281  blockCount=18)  extent3=ExtentDescriptor(startBlock=37486317  blockCount=20)  extent4=ExtentDescriptor(startBlock=37497586  blockCount=25)  extent5=ExtentDescriptor(startBlock=37515564  blockCount=18)  extent6=ExtentDescriptor(startBlock=37530397  blockCount=37)  extent7=ExtentDescriptor(startBlock=37599422  blockCount=7))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
28,8128675,Catalog.csv,2,130,0,8128676,3507213905,3507214150,3507214150,3507213905,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9681)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=23271),0,0,ForkData(logicalSize=95312987  clumpSize=0  totalBlocks=23270  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=37370563  blockCount=2049)  extent1=ExtentDescriptor(startBlock=37372638  blockCount=12)  extent2=ExtentDescriptor(startBlock=38251918  blockCount=19712)  extent3=ExtentDescriptor(startBlock=38272398  blockCount=256)  extent4=ExtentDescriptor(startBlock=38340601  blockCount=176)  extent5=ExtentDescriptor(startBlock=39256463  blockCount=1065)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
28,8128675,Extents.csv,2,130,0,8128677,3507213905,3507214150,3507214150,3507213905,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9681)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=111),0,0,ForkData(logicalSize=447101  clumpSize=0  totalBlocks=110  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=37372628  blockCount=10)  extent1=ExtentDescriptor(startBlock=37422042  blockCount=14)  extent2=ExtentDescriptor(startBlock=37486299  blockCount=10)  extent3=ExtentDescriptor(startBlock=37486337  blockCount=8)  extent4=ExtentDescriptor(startBlock=37497431  blockCount=10)  extent5=ExtentDescriptor(startBlock=37515582  blockCount=16)  extent6=ExtentDescriptor(startBlock=37560097  blockCount=31)  extent7=ExtentDescriptor(startBlock=37621221  blockCount=11))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
26,8128675,sqlite3.db,2,130,0,8128812,3507214150,3507214150,3507214150,3507214150,0,BSDInfo(ownerID=0  groupID=20  adminFlags=0  ownerFlags=0  fileMode=33188  special=1),FileInfo(fileType=0  fileCreator=0  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFileInfo(reserved1=(0  0  21734  9926)  extendedFinderFlags=0  reserved2=0  putAwayFolderID=7),0,0,ForkData(logicalSize=16384  clumpSize=0  totalBlocks=4  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=37621232  blockCount=2)  extent1=ExtentDescriptor(startBlock=37621236  blockCount=1)  extent2=ExtentDescriptor(startBlock=37621239  blockCount=1)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),ForkData(logicalSize=0  clumpSize=0  totalBlocks=0  extents=ExtentsDataRec(extent0=ExtentDescriptor(startBlock=0  blockCount=0)  extent1=ExtentDescriptor(startBlock=0  blockCount=0)  extent2=ExtentDescriptor(startBlock=0  blockCount=0)  extent3=ExtentDescriptor(startBlock=0  blockCount=0)  extent4=ExtentDescriptor(startBlock=0  blockCount=0)  extent5=ExtentDescriptor(startBlock=0  blockCount=0)  extent6=ExtentDescriptor(startBlock=0  blockCount=0)  extent7=ExtentDescriptor(startBlock=0  blockCount=0))),,,,
,8128675,Catalog.csv,4,,,8128676,,,,,,,,,,,,,,,0,
,8128675,Extents.csv,4,,,8128677,,,,,,,,,,,,,,,0,
,8128675,Attributes.csv,4,,,8128678,,,,,,,,,,,,,,,0,
,405341,com.github.GitHub.plist,4,,,8128692,,,,,,,,,,,,,,,0,
,1495533,Auto Save Session.sublime_session,4,,,8128703,,,,,,,,,,,,,,,0,
,18,temp8128708,4,,,8128708,,,,,,,,,,,,,,,0,
